id_localidad,localidad,padre,id_municipio,localidad_activo
607,Las Campas,,3,1
608,Las Campas (El Ayalito),,3,1
609,Las Canoas,,3,1
610,Las Cebollas,,3,1
611,Las Chicuritas (Agua Cercada),,3,1
612,Las Choyitas,,3,1
613,Las Cuevas,,3,1
614,Las Flores (Gerocoa),,3,1
615,Las Garzas,,3,1
616,Las Guásimas,,3,1
617,Las Güijas,,3,1
618,Las Lajas,,3,1
619,Las Lajitas,,3,1
620,Las Lomas,,3,1
621,Las Mayas (La Granadita),,3,1
622,Las Mercedes,,3,1
623,Las Minitas,,3,1
624,Las Mojarras,,3,1
625,Las Norias,,3,1
626,Las Pailas,,3,1
627,Las Panelas,,3,1
628,Las Pilas,,3,1
629,Las Pitahayas,,3,1
630,Las Pitahayitas,,3,1
631,Las Plomosas,,3,1
632,Las Rastras,,3,1
633,Las Salvias,,3,1
634,Las Sardinas,,3,1
635,Las Sisas,,3,1
636,Las Tablas,,3,1
637,Las Uvalamas,,3,1
638,Las Víboras,,3,1
639,Las Viguitas,,3,1
640,Las Vinoramas,,3,1
641,Las Viruelas,,3,1
642,Loma del Sabino,,3,1
643,Los Alamillos,,3,1
644,Los Algodones,,3,1
645,Los Amoles,,3,1
646,Los Arbolitos,,3,1
647,Los Arenales,,3,1
648,Los Barrancos Colorados,,3,1
649,Los Batequis,,3,1
650,Los Bebederos (La Granada),,3,1
651,Los Becerros,,3,1
652,Los Brasiles,,3,1
653,Los Bustillos,,3,1
654,Los Camotes (San José del Palmar),,3,1
655,Los Capomos,,3,1
656,Los Carneros,,3,1
657,Los Citahuis,,3,1
658,Los Coyotes,,3,1
659,Los Cuates,,3,1
660,Los Encinitos,,3,1
661,Los Encinos,,3,1
662,Los Estrados,,3,1
663,Los Ganchos,,3,1
664,Los Güicos,,3,1
665,Los Jicotes,,3,1
666,Los Josos,,3,1
667,Los Llanos,,3,1
668,Los Llanos de Benito,,3,1
669,Los Mautos,,3,1
670,Los Mezcales,,3,1
671,Los Mezquitos,,3,1
672,Los Mimbres (El Pinito),,3,1
673,Los Molinos,,3,1
674,Los Muertos,,3,1
675,Los Norotes,,3,1
676,Los Otates,,3,1
677,Los Sonogoris,,3,1
678,Los Tanques,,3,1
679,Los Valles,,3,1
680,Macoyahui,,3,1
681,Maranatha (Argentina),,3,1
682,Margarita Valenzuela,,3,1
683,Mascuragüi,,3,1
684,Mesa Colorada,,3,1
685,Mesa de la Hormiga,,3,1
686,Mexiquillo,,3,1
687,Minas Nuevas,,3,1
688,Miramar,,3,1
689,Mochibampo,,3,1
690,Mochomobampo,,3,1
691,Monterrey (Bachoco 3265),,3,1
692,Munihuasa,,3,1
693,Mútica,,3,1
694,Nacapul,,3,1
695,Nacapule,,3,1
696,Nahuibampo,,3,1
697,Nasubampo,,3,1
698,Noria del Jacal,,3,1
699,Nuevo Piedras Verdes,,3,1
700,Ojo Prieto,,3,1
701,Osobampo,,3,1
702,Palmarito,,3,1
703,Palo Injerto,,3,1
704,Palo Verde,,3,1
705,Palos Chinos,,3,1
706,Paparique,,3,1
707,Paraje Colorado,,3,1
708,Paredón,,3,1
709,Paredones,,3,1
710,Pie de la Cuesta,,3,1
711,Piedras Blancas,,3,1
712,Piedras Verdes,,3,1
713,Potrerillos,,3,1
714,Potrero de Alcántar,,3,1
